address,lat,lng,Walk Score,Bike Score,Transit Score
"kelowna, bc, v1v 3c7",49.92894,-119.45227,1,21,30
"vernon, bc, v1t",50.26548,-119.27376,98,65,42
"west kelowna, bc, v4t 1x5",49.82397,-119.58687,0,42,-1
"kelowna, bc, v1x 3j1",49.88686,-119.39159,84,77,49
"west kelowna, bc, v1z 4b6",49.87971,-119.54972,0,7,-1
"kelowna, bc, v1w 5n5",49.86089,-119.46705,38,75,45
"vernon, bc, v1h 1a2",50.26928,-119.3004,2,16,18
"kelowna, bc, v1y 6p7",49.88624,-119.48245,61,95,57
"kelowna, bc, v1x 3r8",49.87849,-119.39613,36,65,38
"kelowna, bc, v1y 9w7",49.8951,-119.49691,39,99,40
"kelowna, bc, v1x 5c6",49.90997,-119.39525,40,47,48
"west kelowna, bc, v1z 1n1",49.86014,-119.57389,4,24,-1
"west kelowna, bc, v4t 2c8",49.83122,-119.59024,1,20,-1
"vernon, bc, v1t 1y3",50.26271,-119.24827,17,37,20
"kelowna, bc, v1p 1l9",49.8689,-119.36441,5,29,25
"west kelowna, bc, v4t 3j4",49.84646,-119.61126,8,14,-1
"west kelowna, bc, v4t 3j1",49.84713,-119.57178,0,15,-1
"kelowna, bc, v1x 3n7",49.87749,-119.39385,35,51,38
"kelowna, bc, v1x 4e8",49.89387,-119.41276,62,83,49
"kelowna, bc, v1w 5g7",49.80155,-119.48789,13,37,27
"vernon, bc, v1b 0a2",50.30546,-119.22701,0,1,9
"kelowna, bc, v1v 3e4",49.93494,-119.40105,24,29,47
"kelowna, bc, v1y 3e7",49.89128,-119.47695,40,96,53
"west kelowna, bc, v4t 1j6",49.83022,-119.64758,15,6,-1
"kelowna, bc, v1p",49.88163,-119.34971,11,26,20
"kelowna, bc, v1w 1e5",49.82267,-119.49665,26,67,28
"kelowna, bc, v1y 7x3",49.87272,-119.47858,48,98,45
"kelowna, bc, v1p 1n6",49.86384,-119.35651,30,12,25
"west kelowna, bc, v4t 1p5",49.8323,-119.62784,43,52,-1
"kelowna, bc, v1v 1v2",49.92164,-119.44656,50,74,36
"kelowna, bc, v1w 4y2",49.80571,-119.48241,9,42,26
"penticton, bc",49.50022,-119.59384,51,79,-1
"west kelowna, bc, v4t 3m6",49.86443,-119.62271,1,2,-1
"kelowna, bc, v1y 5n7",49.87628,-119.48731,52,92,57
"kelowna, bc, v1x 4b1",49.88361,-119.40955,47,76,48
"vernon, bc, v1t 6s3",50.27194,-119.28445,39,44,35
"kelowna, bc, v1p 1t8",49.91061,-119.33965,0,17,0
"central okanagan, bc, v1z 3w8",49.93638,-119.50935,0,4,-1
"lake country, bc, v4v 2p2",50.06813,-119.41967,12,8,-1
"kelowna, bc, v1w 4s9",49.82892,-119.48949,19,74,39
"central okanagan, bc, v1x 6l8",49.93566,-119.3574,10,27,-1
"kelowna, bc, v1v 2w6",49.95372,-119.39975,0,14,29
"kelowna, bc, v1v 0c9",49.92704,-119.45687,0,20,0
"central okanagan, bc, v1z 3s4",49.93604,-119.5022,0,11,-1
"kelowna, bc, v1p 1b2",49.91102,-119.36081,1,21,24
"west kelowna, bc, v1z 4b7",49.88363,-119.54893,0,6,-1
"lake country, bc, v4v 2n6",50.03311,-119.38801,5,3,-1
"vernon, bc, v1t 5x1",50.26247,-119.27712,95,65,41
"penticton, bc, v2a 7j6",49.45412,-119.59121,14,55,-1
"west kelowna, bc, v4t 2h8",49.82953,-119.62649,44,45,-1
