name,price,address,Type,nbeds,nbath,laundry,heating,parking,air_conditioner,furnished,animal_friendly,Area,lat,lng,Walk Score,Bike Score,Transit Score
private room for rent,750,"west kelowna, bc",Room,1,1,Not specified,central heating,parking available,central ac,furnished,cat friendly,150,49.85902,-119.58413,6,23,-1
2 beds 1 bath house,1700,"west kelowna, bc",House,2,1,laundry in building,Not specified,parking available,central ac,unfurnished,No pets,1100,49.85902,-119.58413,6,23,-1
private room for rent,800,"west kelowna, bc",Room,1,1,laundry available,central heating,parking available,central ac,furnished,No pets,150,49.85902,-119.58413,6,23,-1
1 bed 1 bath house,1550,"west kelowna, bc",House,1,1,in-unit laundry,heating available,parking available,Not specified,unfurnished,dog friendly,775,49.85902,-119.58413,6,23,-1
2 beds 1 bath house,2100,"west kelowna, bc",House,2,1,in-unit laundry,central heating,street parking,central ac,unfurnished,cat friendly,1200,49.85902,-119.58413,6,23,-1
2 beds 1 bath house,1850,"west kelowna, bc",House,2,1,in-unit laundry,gas heating,parking available,central ac,unfurnished,No pets,1200,49.85902,-119.58413,6,23,-1
1 bed 1 bath house,800,"west kelowna, bc",House,1,1,laundry available,Not specified,parking available,ac available,unfurnished,No pets,1200,49.85902,-119.58413,6,23,-1
2 bed 1 bath house,1775,"west kelowna, bc",House,2,1,in-unit laundry,central heating,parking available,central ac,unfurnished,dog and cat friendly,1200,49.85902,-119.58413,6,23,-1
3 beds 2 5 baths townhouse,3000,"west kelowna, bc",Townhouse,3,2,in-unit laundry,central heating,garage parking,central ac,Not specified,dog and cat friendly,1935,49.85902,-119.58413,6,23,-1
4 beds 3 baths house,3400,"west kelowna, bc",House,4,3,in-unit laundry,electric heating,garage parking,Not specified,Not specified,dog and cat friendly,2108,49.85902,-119.58413,6,23,-1
private room for rent,800,"west kelowna, bc",Room,1,1,laundry available,Not specified,parking available,Not specified,unfurnished,No pets,150,49.85902,-119.58413,6,23,-1
6 beds 2 baths house,7500,"west kelowna, bc",House,6,2,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,1200,49.85902,-119.58413,6,23,-1
2 beds 1 bath house,2100,"west kelowna, bc",House,2,1,in-unit laundry,gas heating,parking available,central ac,unfurnished,No pets,1100,49.85902,-119.58413,6,23,-1
2 beds 1 bath house,1250,"west kelowna, bc",House,2,1,in-unit laundry,central heating,street parking,Not specified,unfurnished,No pets,950,49.85902,-119.58413,6,23,-1
apartment for rent,1700,"west kelowna, bc",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,910,49.85902,-119.58413,6,23,-1
3 bedroom 2 bathroom updated home with pool,2800,"west kelowna, bc",House,3,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200,49.85902,-119.58413,6,23,-1
6 beds 4 baths house,3850,"west kelowna, bc",House,6,4,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,2700,49.85902,-119.58413,6,23,-1
